Attitude-X, Attitude-Y, Attitude-Z
-0.06103516, -1.004395, -0.01269531
-0.05761719, -1.005371, -0.006835938
-0.02783203, -0.9946289, -0.02294922
-0.02783203, -0.9946289, -0.02294922
-0.02783203, -0.9946289, -0.02294922
-0.04638672, -0.9951172, -0.04394531
-0.04638672, -0.9951172, -0.04394531
-0.04638672, -0.9951172, -0.04394531
-0.04980469, -0.9980469, -0.03222656
-0.04980469, -0.9980469, -0.03222656
-0.04980469, -0.9980469, -0.03222656
-0.04980469, -0.9980469, -0.03222656
-0.04980469, -0.9980469, -0.03222656
-0.07128906, -0.9921875, -0.07617188
-0.07128906, -0.9921875, -0.07617188
-0.07128906, -0.9921875, -0.07617188
-0.04199219, -0.9985352, -0.03857422
-0.04199219, -0.9985352, -0.03857422
-0.04199219, -0.9985352, -0.03857422
-0.04199219, -0.9985352, -0.03857422
-0.04638672, -0.9970703, -0.005371094
-0.04638672, -0.9970703, -0.005371094
-0.05810547, -0.9931641, -0.0004882813
-0.05810547, -0.9931641, -0.0004882813
-0.05810547, -0.9931641, -0.0004882813
-0.05810547, -0.9931641, -0.0004882813
-0.05810547, -0.9931641, -0.0004882813
-0.01806641, -0.9980469, -0.01074219
-0.01806641, -0.9980469, -0.01074219
-0.01806641, -0.9980469, -0.01074219
-0.01806641, -0.9980469, -0.01074219
-0.02832031, -0.9936523, -0.04833984
-0.02832031, -0.9936523, -0.04833984
-0.02832031, -0.9936523, -0.04833984
-0.06396484, -0.9936523, -0.07519531
-0.06396484, -0.9936523, -0.07519531
-0.06396484, -0.9936523, -0.07519531
-0.06396484, -0.9936523, -0.07519531
-0.06201172, -0.9980469, -0.04003906
-0.06201172, -0.9980469, -0.04003906
-0.06201172, -0.9980469, -0.04003906
-0.06201172, -0.9980469, -0.04003906
-0.06201172, -0.9980469, -0.04003906
-0.06201172, -0.9980469, -0.04003906
-0.07080078, -0.9951172, -0.03564453
-0.07080078, -0.9951172, -0.03564453
-0.01708984, -0.9956055, -0.015625
-0.01708984, -0.9956055, -0.015625
-0.01708984, -0.9956055, -0.015625
-0.01708984, -0.9956055, -0.015625
-0.04345703, -0.9941406, -0.02392578
-0.04345703, -0.9941406, -0.02392578
-0.04345703, -0.9941406, -0.02392578
-0.04345703, -0.9941406, -0.02392578
-0.04345703, -0.9941406, -0.02392578
-0.04345703, -0.9941406, -0.02392578
-0.04345703, -0.9941406, -0.02392578
-0.04345703, -0.9941406, -0.02392578
-0.07324219, -0.9951172, -0.02978516
-0.07324219, -0.9951172, -0.02978516
-0.07324219, -0.9951172, -0.02978516
-0.07324219, -0.9951172, -0.02978516
-0.03808594, -0.9951172, -0.015625
-0.03808594, -0.9951172, -0.015625
-0.03808594, -0.9951172, -0.015625
-0.03808594, -0.9951172, -0.015625
-0.03808594, -1, 0.03564453
-0.03808594, -1, 0.03564453
-0.03808594, -1, 0.03564453
-0.03808594, -1, 0.03564453
-0.03808594, -1, 0.03564453
-0.03808594, -1, 0.03564453
-0.09570313, -0.9912109, 0.05419922
-0.09570313, -0.9912109, 0.05419922
0.03710938, -0.9658203, 0.01269531
0.03710938, -0.9658203, 0.01269531
0.03710938, -0.9658203, 0.01269531
-0.03808594, -0.8925781, 0.1416016
-0.03808594, -0.8925781, 0.1416016
-0.03808594, -0.8925781, 0.1416016
-0.03808594, -0.8925781, 0.1416016
-0.03808594, -0.8925781, 0.1416016
-0.07470703, -0.8857422, 0.1967773
-0.07470703, -0.8857422, 0.1967773
-0.07470703, -0.8857422, 0.1967773
-0.07177734, -0.8559571, 0.1879883
-0.07177734, -0.8559571, 0.1879883
-0.07177734, -0.8559571, 0.1879883
-0.07177734, -0.8559571, 0.1879883
-0.0625, -0.7783203, 0.1850586
-0.0625, -0.7783203, 0.1850586
-0.0625, -0.7783203, 0.1850586
-0.0625, -0.7783203, 0.1850586
-0.0625, -0.7783203, 0.1850586
-0.04785156, -0.5693359, 0.2075195
-0.04785156, -0.5693359, 0.2075195
-0.04785156, -0.5693359, 0.2075195
-0.04785156, -0.5693359, 0.2075195
-0.04296875, -0.4018555, 0.2192383
-0.04296875, -0.4018555, 0.2192383
-0.04296875, -0.4018555, 0.2192383
-0.0234375, 0.3164063, 0.2744141
-0.0234375, 0.3164063, 0.2744141
-0.0234375, 0.3164063, 0.2744141
-0.0234375, 0.3164063, 0.2744141
-0.04199219, 0.7363281, 0.3325195
-0.04199219, 0.7363281, 0.3325195
-0.04199219, 0.7363281, 0.3325195
-0.04199219, 0.7363281, 0.3325195
-0.04199219, 0.7363281, 0.3325195
-0.04199219, 0.7363281, 0.3325195
-0.1381836, 1.172363, 0.1181641
-0.1381836, 1.172363, 0.1181641
-0.171875, 0.2231445, 0.7446289
-0.171875, 0.2231445, 0.7446289
-0.171875, 0.2231445, 0.7446289
-0.06787109, 0.06884766, 0.1523438
-0.06787109, 0.06884766, 0.1523438
-0.06787109, 0.06884766, 0.1523438
-0.06787109, 0.06884766, 0.1523438
0.1826172, 0.04882813, -0.6972656
0.1826172, 0.04882813, -0.6972656
0.1826172, 0.04882813, -0.6972656
0.1826172, 0.04882813, -0.6972656
-0.2133789, 0.1772461, -3.996094
-0.2133789, 0.1772461, -3.996094
-0.2133789, 0.1772461, -3.996094
0.09082031, -0.1240234, -0.1210938
0.09082031, -0.1240234, -0.1210938
0.09082031, -0.1240234, -0.1210938
0.09082031, -0.1240234, -0.1210938
-0.09033203, 0.05419922, -1.153809
-0.09033203, 0.05419922, -1.153809
-0.09033203, 0.05419922, -1.153809
-0.09033203, 0.05419922, -1.153809
-0.09033203, 0.05419922, -1.153809
0.1181641, -0.09472656, -0.762207
0.1181641, -0.09472656, -0.762207
0.1181641, -0.09472656, -0.762207
0.04101563, -0.0546875, -0.9282226
0.04101563, -0.0546875, -0.9282226
0.04101563, -0.0546875, -0.9282226
0.01953125, -0.03808594, -1.062988
0.01953125, -0.03808594, -1.062988
0.01953125, -0.03808594, -1.062988
0.01953125, -0.03808594, -1.062988
0.03613281, -0.04296875, -0.9853516
0.03613281, -0.04296875, -0.9853516
0.03613281, -0.04296875, -0.9853516
0.03613281, -0.04296875, -0.9853516
0.03613281, -0.04296875, -0.9853516
0.03613281, -0.04296875, -0.9853516
0.01660156, -0.04541016, -1.01416
0.01660156, -0.04541016, -1.01416
0.01660156, -0.04541016, -1.01416
0.02929687, -0.04296875, -0.9873047
0.02929687, -0.04296875, -0.9873047
0.02929687, -0.04296875, -0.9873047
0.02880859, -0.04150391, -1.017578
0.02880859, -0.04150391, -1.017578
0.02880859, -0.04150391, -1.017578
0.02880859, -0.04150391, -1.017578
0.02880859, -0.04150391, -1.017578
0.0234375, -0.04345703, -1
0.0234375, -0.04345703, -1
0.0234375, -0.04345703, -1
0.0234375, -0.04345703, -1
0.02197266, -0.04199219, -0.9897461
0.02197266, -0.04199219, -0.9897461
0.02197266, -0.04199219, -0.9897461
0.02929687, -0.04443359, -1.008789
0.02929687, -0.04443359, -1.008789
0.02929687, -0.04443359, -1.008789
0.03466797, -0.04345703, -0.9941406
0.03466797, -0.04345703, -0.9941406
0.03466797, -0.04345703, -0.9941406
0.03466797, -0.04345703, -0.9941406
0.03466797, -0.04345703, -0.9941406
0.02880859, -0.03662109, -0.9936523
0.02880859, -0.03662109, -0.9936523
0.02880859, -0.03662109, -0.9936523
0.03027344, -0.03710938, -1.003418
0.03027344, -0.03710938, -1.003418
0.03027344, -0.03710938, -1.003418
0.02880859, -0.04980469, -0.9926758
0.02880859, -0.04980469, -0.9926758
0.02880859, -0.04980469, -0.9926758
0.02880859, -0.04980469, -0.9926758
0.02880859, -0.04980469, -0.9926758
0.02880859, -0.04980469, -0.9926758
0.02880859, -0.04980469, -0.9926758
0.02880859, -0.04980469, -0.9926758
0.0258789, -0.04248047, -0.9970703
0.0258789, -0.04248047, -0.9970703
0.0258789, -0.04248047, -0.9970703
0.02929687, -0.04003906, -0.9951172
0.02929687, -0.04003906, -0.9951172
0.02929687, -0.04003906, -0.9951172
0.02929687, -0.04003906, -0.9951172
0.02929687, -0.04003906, -0.9951172
0.03369141, -0.03515625, -0.9980469
0.03369141, -0.03515625, -0.9980469
0.03369141, -0.03515625, -0.9980469
0.03369141, -0.03515625, -0.9980469
0.03173828, -0.03808594, -0.996582
0.03173828, -0.03808594, -0.996582
0.03173828, -0.03808594, -0.996582
0.03173828, -0.03808594, -0.996582
0.02734375, -0.04248047, -0.996582
0.02734375, -0.04248047, -0.996582
0.02734375, -0.04248047, -0.996582
0.02734375, -0.04248047, -0.996582
0.02636719, -0.04833984, -1.000977
0.02636719, -0.04833984, -1.000977
0.02636719, -0.04833984, -1.000977
0.02636719, -0.04833984, -1.000977
0.02636719, -0.04589844, -1
0.02636719, -0.04589844, -1
0.02636719, -0.04589844, -1
0.02783203, -0.04199219, -0.9975586
0.02783203, -0.04199219, -0.9975586
0.02783203, -0.04199219, -0.9975586
0.02783203, -0.04199219, -0.9975586
0.02783203, -0.04199219, -0.9975586
0.03076172, -0.04101563, -0.9995117
0.03076172, -0.04101563, -0.9995117
0.03076172, -0.04101563, -0.9995117
0.03076172, -0.04101563, -0.9995117
-0.144043, 0.009277344, -1.215332
-0.144043, 0.009277344, -1.215332
-0.144043, 0.009277344, -1.215332
0.08349609, -0.03515625, -0.9819336
0.08349609, -0.03515625, -0.9819336
0.08349609, -0.03515625, -0.9819336
0.08349609, -0.03515625, -0.9819336
